,Date,Open,High,Low,Close,Volume,Year,M_num,M_nm,D_num,D_nm,Wk,P_intra,P_day,P_Vol,Ex_trd,PEx_trd
15458,2011-06-09,1279.6300048828125,1294.5400390625,1279.6300048828125,1289.0,3332510000,2011,6,June,3,Thursday,23,1.1651832266197095,0.7322425295932005,-16.074805896026252,0.0699462890625,0.005466432669004354
15459,2011-06-10,1288.5999755859375,1288.5999755859375,1268.280029296875,1270.97998046875,3846250000,2011,6,June,4,Friday,23,1.6021655958998051,-1.3673750932034232,15.416007753915217,-0.4000244140625,-0.03103370163401862
15460,2011-06-13,1271.31005859375,1277.0400390625,1265.6400146484375,1271.8299560546875,4132520000,2011,6,June,0,Monday,24,0.9007319839859153,0.04089462341803388,7.442833929151771,0.330078125,0.025970363819441428
15461,2011-06-14,1272.219970703125,1292.5,1272.219970703125,1287.8699951171875,3500280000,2011,6,June,1,Tuesday,24,1.5940662592858625,1.2301351004113787,-15.299139508096754,0.3900146484375,0.030665628418389743
15462,2011-06-15,1287.8699951171875,1287.8699951171875,1261.9000244140625,1265.4200439453125,4070500000,2011,6,June,2,Wednesday,24,2.058005404602764,-1.7431845805082373,16.29069674426046,,
15463,2011-06-16,1265.530029296875,1274.1099853515625,1258.0699462890625,1267.6400146484375,3846250000,2011,6,June,3,Thursday,24,1.2749719608049943,0.16672740296291522,-5.50915120992507,0.1099853515625,0.0086916081414033
15464,2011-06-17,1268.5799560546875,1279.8199462890625,1267.4000244140625,1271.5,4916460000,2011,6,June,4,Friday,24,0.9799527880506322,0.23018209702712814,27.82476438089048,0.93994140625,0.07414892204319377
15465,2011-06-20,1271.5,1280.4200439453125,1267.56005859375,1278.3599853515625,3464660000,2011,6,June,0,Monday,25,1.014546432287363,0.5395190996116791,-29.529376828042942,,
15466,2011-06-21,1278.4000244140625,1297.6199951171875,1278.4000244140625,1295.52001953125,4056150000,2011,6,June,1,Tuesday,25,1.503439481858131,1.3391735599374868,17.07209365421138,0.0400390625,0.003132064751619149
15467,2011-06-22,1295.47998046875,1298.6099853515625,1286.7900390625,1287.1400146484375,3718420000,2011,6,June,2,Wednesday,25,0.9185605988739239,-0.6437741953599938,-8.326368600766736,-0.0400390625,-0.0030905784469843303
15468,2011-06-23,1286.5999755859375,1286.5999755859375,1262.8699951171875,1283.5,4983450000,2011,6,June,3,Thursday,25,1.8790517282460246,-0.2409432336982381,34.02063241914577,-0.5400390625,-0.041956512605779206
15469,2011-06-24,1283.0400390625,1283.9300537109375,1267.239990234375,1268.449951171875,3665340000,2011,6,June,4,Friday,25,1.3170404663031259,-1.137149850856235,-26.449748668091384,-0.4599609375,-0.03583645792754188
15470,2011-06-27,1268.43994140625,1284.9100341796875,1267.530029296875,1280.0999755859375,3479070000,2011,6,June,0,Monday,26,1.3711710556043826,0.9192421177435218,-5.081929643634697,-0.010009765625,-0.0007891336678875142
15471,2011-06-28,1280.2099609375,1296.800048828125,1280.2099609375,1296.6700439453125,3681500000,2011,6,June,1,Tuesday,26,1.2958880493693432,1.2857330836387768,5.818508969351005,0.1099853515625,0.008591934509814879
15472,2011-06-29,1296.8499755859375,1309.2099609375,1296.8499755859375,1307.4100341796875,4347540000,2011,6,June,2,Wednesday,26,0.9530775019661054,0.8142852907082639,18.091538774955858,0.179931640625,0.013876439998377002
15473,2011-06-30,1307.6400146484375,1321.969970703125,1307.6400146484375,1320.6400146484375,4200500000,2011,6,June,3,Thursday,26,1.0958639911719241,0.9941574022186133,-3.3821425449794598,0.22998046875,0.017590538755066033
15474,2011-07-01,1320.6400146484375,1341.010009765625,1318.1800537109375,1339.6700439453125,3796930000,2011,7,July,4,Friday,26,1.7319300189998066,1.4409702179091484,-9.607665754076896,,
15475,2011-07-05,1339.5899658203125,1340.8900146484375,1334.300048828125,1337.8800048828125,3722320000,2011,7,July,1,Tuesday,27,0.49388934865889167,-0.1276480849461191,-1.9650085727153253,-0.080078125,-0.005977451340493579
15476,2011-07-06,1337.56005859375,1340.93994140625,1330.9200439453125,1339.219970703125,3564190000,2011,7,July,2,Wednesday,27,0.752854952220497,0.12410000573134311,-4.248157063336844,-0.3199462890625,-0.023914423408288005
15477,2011-07-07,1339.6199951171875,1356.47998046875,1339.6199951171875,1353.219970703125,4069530000,2011,7,July,3,Thursday,27,1.2585647730711589,1.0152114506732037,14.178256490254448,0.4000244140625,0.02986995585590595
15478,2011-07-08,1352.3900146484375,1352.3900146484375,1333.7099609375,1343.800048828125,3594360000,2011,7,July,4,Friday,27,1.4006083974814731,-0.6351692727149806,-11.676286942226744,-0.8299560546875,-0.06133193957049421
15479,2011-07-11,1343.31005859375,1343.31005859375,1316.4200439453125,1319.489990234375,3879130000,2011,7,July,0,Monday,28,2.0426622013326456,-1.7732368046369833,7.922689992098733,-0.489990234375,-0.03646303144595814
15480,2011-07-12,1319.6099853515625,1327.1700439453125,1313.3299560546875,1313.6400146484375,4227890000,2011,7,July,1,Tuesday,28,1.0538165087013895,-0.4524041777036506,8.990675744303491,0.1199951171875,0.009094052859482914
15481,2011-07-13,1314.449951171875,1331.47998046875,1314.449951171875,1317.719970703125,4060080000,2011,7,July,2,Wednesday,28,1.2956011966596503,0.24877474629860732,-3.969119347948977,0.8099365234375,0.06165589616682459
15482,2011-07-14,1317.739990234375,1326.8800048828125,1306.510009765625,1308.8699951171875,4358570000,2011,7,July,3,Thursday,28,1.559115120812712,-0.6731217981485005,7.351825579791531,0.02001953125,0.0015192553573668414
15483,2011-07-15,1308.8699951171875,1317.699951171875,1307.52001953125,1316.1400146484375,4242760000,2011,7,July,4,Friday,28,0.7785679369004642,0.5554424471774289,-2.6570641288312453,,
15484,2011-07-18,1315.93994140625,1315.93994140625,1295.9200439453125,1305.43994140625,4118160000,2011,7,July,0,Monday,29,1.5448404825955708,-0.7979087547703285,-2.9367675758232847,-0.2000732421875,-0.015201516553004646
15485,2011-07-19,1307.0699462890625,1328.1400146484375,1307.0699462890625,1326.72998046875,4304600000,2011,7,July,1,Tuesday,29,1.6120077138331883,1.5041302292585668,4.527264603609379,1.6300048828125,0.1248624950954558
15486,2011-07-20,1328.6600341796875,1330.4300537109375,1323.6500244140625,1325.8399658203125,3767420000,2011,7,July,2,Wednesday,29,0.5122222016258642,-0.2122490544480105,-12.479208288807323,1.9300537109375,0.14547449287726116
15487,2011-07-21,1325.6500244140625,1347.0,1325.6500244140625,1343.800048828125,4837430000,2011,7,July,3,Thursday,29,1.6105288117332621,1.369141483785271,28.401664799783404,-0.18994140625,-0.014326118622656021
15488,2011-07-22,1343.800048828125,1346.0999755859375,1336.949951171875,1345.02001953125,3522830000,2011,7,July,4,Friday,29,0.6843954335046156,0.09078513609140648,-27.175587036918365,,
15489,2011-07-25,1344.3199462890625,1344.3199462890625,1331.0899658203125,1337.4300537109375,3536890000,2011,7,July,0,Monday,30,0.9939208324357508,-0.5125188090189581,0.3991109420551091,-0.7000732421875,-0.05204928045840396
15490,2011-07-26,1337.3900146484375,1338.510009765625,1329.5899658203125,1331.93994140625,4007050000,2011,7,July,1,Tuesday,30,0.6708868278656971,-0.4075156224057925,13.293034275875131,-0.0400390625,-0.002993731327399478
15491,2011-07-27,1331.9100341796875,1331.9100341796875,1303.489990234375,1304.8900146484375,3479040000,2011,7,July,2,Wednesday,30,2.1803039653724086,-2.0286670148777284,-13.177025492569348,-0.0299072265625,-0.0022453885218671516
15492,2011-07-28,1304.8399658203125,1316.3199462890625,1299.1600341796875,1300.6700439453125,4951800000,2011,7,July,3,Thursday,30,1.3208466746138838,-0.31957343308215574,42.332367549668874,-0.050048828125,-0.0038354824976175573
15493,2011-07-29,1300.1199951171875,1304.1600341796875,1282.8599853515625,1292.280029296875,5061190000,2011,7,July,4,Friday,30,1.660356474700379,-0.6030186328767168,2.209095682378125,-0.550048828125,-0.04228965145199632
15494,2011-08-01,1292.5899658203125,1307.3800048828125,1274.72998046875,1286.93994140625,4967390000,2011,8,August,0,Monday,31,2.5613286668017547,-0.4371087942398533,-1.8533190810856734,0.3099365234375,0.023983696753878906
15495,2011-08-02,1286.56005859375,1286.56005859375,1254.030029296875,1254.050048828125,5206290000,2011,8,August,1,Tuesday,31,2.5940391008909365,-2.526894065183358,4.809366689549241,-0.3798828125,-0.029518301536659033
15496,2011-08-03,1254.25,1261.199951171875,1234.56005859375,1260.3399658203125,6446940000,2011,8,August,2,Wednesday,31,2.15784500662282,0.4855464078383496,23.8298289184813,0.199951171875,0.01594443316372013
15497,2011-08-04,1260.22998046875,1260.22998046875,1199.5400390625,1200.0699462890625,4266530000,2011,8,August,3,Thursday,31,5.059434402346603,-4.773734565282331,-33.82085144269995,-0.1099853515625,-0.00872664158443268
15498,2011-08-05,1200.280029296875,1218.1099853515625,1168.0899658203125,1199.3800048828125,5454590000,2011,8,August,4,Friday,31,4.28220607957389,-0.07498453628273187,27.846048193731203,0.2100830078125,0.017505896923936216
15499,2011-08-08,1198.47998046875,1198.47998046875,1119.280029296875,1119.4599609375,2615150000,2011,8,August,0,Monday,32,7.075972866381609,-6.59335331578452,-52.05597487620518,-0.9000244140625,-0.07504080528259587
15500,2011-08-09,1120.22998046875,1172.8800048828125,1101.5400390625,1172.530029296875,2366660000,2011,8,August,1,Tuesday,32,6.476384270246645,4.668688549670892,-9.501940615261075,0.77001953125,0.0687849104138697
15501,2011-08-10,1171.77001953125,1171.77001953125,1118.010009765625,1120.760009765625,5018070000,2011,8,August,2,Wednesday,32,4.808544583325782,-4.35324414478797,112.03172403302544,-0.760009765625,-0.06481793614111113
15502,2011-08-11,1121.300048828125,1186.2900390625,1121.300048828125,1172.6400146484375,3685050000,2011,8,August,3,Thursday,32,5.795950004844492,4.57861086102405,-26.56439627187345,0.5400390625,0.04818507600150132
15503,2011-08-12,1172.8699951171875,1189.0400390625,1170.739990234375,1178.81005859375,5640380000,2011,8,August,4,Friday,32,1.5631181116877575,0.5064554043748896,53.061152494538746,0.22998046875,0.019612196912702926
15504,2011-08-15,1178.8599853515625,1204.489990234375,1178.8599853515625,1204.489990234375,4272850000,2011,8,August,0,Monday,33,2.1741347743828165,2.1741347743828165,-24.245352263499978,0.0499267578125,0.004235352205261943
15505,2011-08-16,1204.219970703125,1204.219970703125,1180.530029296875,1192.760009765625,5071600000,2011,8,August,1,Tuesday,33,2.006720779509502,-0.951650131728733,18.693611991995976,-0.27001953125,-0.02241774804599733
15506,2011-08-17,1192.8900146484375,1208.469970703125,1184.3599853515625,1193.8900146484375,4388340000,2011,8,August,2,Wednesday,33,2.035697393508761,0.08383002520938318,-13.472276993453741,0.1300048828125,0.010899500465147696
15507,2011-08-18,1189.6199951171875,1189.6199951171875,1131.030029296875,1140.6500244140625,3234810000,2011,8,August,3,Thursday,33,5.180230789870008,-4.116438098226573,-26.286249470186906,-4.27001953125,-0.3576560218159949
15508,2011-08-19,1140.469970703125,1154.5400390625,1122.050048828125,1123.530029296875,5167560000,2011,8,August,4,Friday,33,2.8955918916725434,-1.4853474305690093,59.748486000723375,-0.1800537109375,-0.015785184507403252
15509,2011-08-22,1123.550048828125,1145.489990234375,1121.0899658203125,1123.8199462890625,5436260000,2011,8,August,0,Monday,34,2.1764555172170117,0.024021845864276897,5.199746108414803,0.02001953125,0.0017818421161852325
15510,2011-08-23,1124.3599853515625,1162.3499755859375,1124.3599853515625,1162.3499755859375,5013170000,2011,8,August,1,Tuesday,34,3.37881023242715,3.37881023242715,-7.78274033986601,0.5400390625,0.04805387769484332
15511,2011-08-24,1162.1600341796875,1178.56005859375,1156.300048828125,1177.5999755859375,5315310000,2011,8,August,2,Wednesday,34,1.9251067046295507,1.3285555304049246,6.026925079341016,-0.18994140625,-0.016341154578185548
15512,2011-08-25,1176.68994140625,1190.6800537109375,1155.469970703125,1159.27001953125,5748420000,2011,8,August,3,Thursday,34,3.0472521052525936,-1.4804173352736942,8.148348826314928,-0.9100341796875,-0.07727871930658754
15513,2011-08-26,1158.8499755859375,1181.22998046875,1135.9100341796875,1176.800048828125,5035320000,2011,8,August,4,Friday,34,3.9897478607793886,1.5489557423610065,-12.405147849322075,-0.4200439453125,-0.03623348643850416
15514,2011-08-29,1177.9100341796875,1210.280029296875,1177.9100341796875,1210.0799560546875,4228070000,2011,8,August,0,Monday,35,2.748087220407321,2.7311017770048602,-16.031751705949173,1.1099853515625,0.09432234071266737
15515,2011-08-30,1209.760009765625,1220.0999755859375,1195.77001953125,1212.9200439453125,4572570000,2011,8,August,1,Tuesday,35,2.034668511276525,0.2612116580295719,8.14792564929152,-0.3199462890625,-0.026440094926094337
15516,2011-08-31,1213.0,1230.7099609375,1209.3499755859375,1218.8900146484375,5267840000,2011,8,August,2,Wednesday,35,1.7662368861597284,0.48557416722485575,15.205234692962602,0.0799560546875,0.006592030124873179
15517,2011-09-01,1219.1199951171875,1229.2900390625,1203.8499755859375,1204.4200439453125,4780410000,2011,9,September,3,Thursday,35,2.1132254012116687,-1.20578378098556,-9.252938585834041,0.22998046875,0.018868024677052828
15518,2011-09-02,1203.9000244140625,1203.9000244140625,1170.56005859375,1173.969970703125,4401740000,2011,9,September,4,Friday,35,2.8482063415323946,-2.4860912952887797,-7.921287086254108,-0.52001953125,-0.0431759280214712
15519,2011-09-06,1173.969970703125,1173.969970703125,1140.1300048828125,1165.239990234375,5103980000,2011,9,September,1,Tuesday,36,2.968079576485729,-0.7436289416773888,15.953691040361312,,
15520,2011-09-07,1165.8499755859375,1198.6199951171875,1165.8499755859375,1198.6199951171875,4441040000,2011,9,September,2,Wednesday,36,2.8108264543026054,2.8108264543026054,-12.988687259746316,0.6099853515625,0.052348473848705473
15521,2011-09-08,1197.97998046875,1204.4000244140625,1183.3399658203125,1185.9000244140625,4465170000,2011,9,September,3,Thursday,36,1.7797132862956075,-1.0083604276893519,0.5433411993587087,-0.6400146484375,-0.05339595960727542
15522,2011-09-09,1185.3699951171875,1185.3699951171875,1148.3699951171875,1154.22998046875,4586370000,2011,9,September,4,Friday,36,3.2219580934125913,-2.627029094435527,2.7143423430686853,-0.530029296875,-0.044694264774712396
15523,2011-09-12,1153.5,1162.52001953125,1136.0699462890625,1162.27001953125,5168550000,2011,9,September,0,Monday,37,2.328208164346381,0.760296448309493,12.693698938376102,-0.72998046875,-0.06324393587953278
15524,2011-09-13,1162.5899658203125,1176.4100341796875,1157.43994140625,1172.8699951171875,4681370000,2011,9,September,1,Tuesday,37,1.6389699452041966,0.8842351645123229,-9.425854446604948,0.3199462890625,0.02752770730432642
15525,2011-09-14,1173.3199462890625,1202.3800048828125,1162.72998046875,1188.6800537109375,4986740000,2011,9,September,2,Wednesday,37,3.410080163072578,1.3091150005977004,6.523090462834598,0.449951171875,0.03836326052744175
15526,2011-09-15,1189.43994140625,1209.1099853515625,1189.43994140625,1209.1099853515625,4479730000,2011,9,September,3,Thursday,37,1.6537231734506088,1.6537231734506088,-10.167163317116994,0.7598876953125,0.06392701660469598
